Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,99.720001,100.320000,95.339996,97.970001,96.559471,1424400
2020-03-12,90.870003,94.930000,85.410004,85.800003,84.564690,1762900
2020-03-13,90.139999,90.779999,80.000000,90.309998,89.363876,1866100
2020-03-16,78.800003,86.660004,76.309998,78.000000,77.182846,2061700
2020-03-17,79.570000,84.300003,77.320000,81.379997,80.527428,2556000
2020-03-18,75.209999,80.209999,68.500000,77.760002,76.945358,1916200
2020-03-19,76.389999,78.800003,73.830002,75.910004,75.114746,1344500
2020-03-20,77.180000,77.639999,71.129997,72.510002,71.750366,1684800
2020-03-23,71.430000,74.790001,68.000000,70.830002,70.087959,1493400
2020-03-24,75.360001,78.959999,73.860001,78.459999,77.638023,1107800
2020-03-25,79.379997,88.800003,77.820000,86.120003,85.217781,1511500
2020-03-26,87.360001,92.940002,87.019997,92.559998,91.590294,1194200
2020-03-27,89.250000,95.860001,89.110001,93.440002,92.461090,1369500
2020-03-30,93.519997,94.830002,90.629997,93.430000,92.451187,1346100
2020-03-31,93.120003,96.449997,91.199997,91.650002,90.689835,1801200
2020-04-01,88.099998,89.589996,86.019997,87.150002,86.236984,1054300
2020-04-02,86.510002,89.099998,85.620003,88.629997,87.701477,2436400
2020-04-03,88.000000,88.809998,86.080002,87.940002,87.018707,1877900
2020-04-06,92.330002,95.870003,90.930000,94.889999,93.895897,1148300
2020-04-07,99.190002,99.870003,92.570000,92.599998,91.629890,1166700
2020-04-08,93.110001,96.199997,92.650002,95.440002,94.440140,979300
2020-04-09,96.220001,98.230003,94.750000,95.459999,94.459923,1083800
2020-04-13,94.669998,94.720001,90.970001,92.080002,91.115334,1131400
2020-04-14,93.800003,95.769997,92.620003,95.570000,94.568771,1597100
2020-04-15,93.010002,93.870003,90.959999,92.709999,91.738731,1068500
2020-04-16,92.849998,93.250000,89.629997,92.849998,91.877274,1423900
2020-04-17,94.849998,99.360001,94.260002,99.279999,98.239906,1538200
2020-04-20,98.690002,101.089996,97.529999,98.599998,97.567032,1000700
2020-04-21,96.180000,96.870003,93.800003,94.559998,93.569344,765000
2020-04-22,96.540001,98.629997,95.300003,97.610001,96.587395,915800
2020-04-23,98.150002,100.459999,97.550003,98.860001,97.824303,1460900
2020-04-24,99.519997,102.339996,98.019997,101.949997,100.881927,1585800
2020-04-27,102.790001,103.879997,100.570000,102.800003,101.723030,831100
2020-04-28,103.820000,104.419998,102.059998,102.320000,101.248055,874900
2020-04-29,104.139999,104.629997,102.830002,102.959999,101.881355,1066800
2020-04-30,101.820000,101.820000,98.550003,98.809998,97.774818,1063500
2020-05-01,97.029999,98.269997,96.000000,97.889999,96.864471,772100
2020-05-04,97.889999,99.900002,96.610001,98.910004,97.873787,1085800
2020-05-05,95.000000,99.690002,94.180000,98.440002,97.408714,1525400
2020-05-06,98.440002,98.830002,96.449997,97.180000,96.161911,1000600
2020-05-07,98.449997,101.139999,97.599998,100.379997,99.328377,907500
2020-05-08,101.750000,103.099998,100.919998,102.699997,101.624069,895900
2020-05-11,101.610001,103.250000,101.080002,102.070000,101.000671,1215200
2020-05-12,102.349998,102.730003,99.910004,99.910004,98.863312,1319500
2020-05-13,98.919998,99.459999,94.349998,95.510002,94.509399,1173800
2020-05-14,93.849998,95.889999,91.669998,95.830002,94.826042,939200
2020-05-15,95.169998,97.709999,94.470001,96.820000,95.805679,589700
2020-05-18,98.900002,99.830002,98.430000,98.730003,97.695671,699800
2020-05-19,98.739998,99.650002,97.660004,97.820000,96.795197,871000
2020-05-20,98.370003,99.400002,97.900002,98.910004,97.873787,964000
2020-05-21,98.519997,99.620003,97.739998,99.400002,98.358643,541200
2020-05-22,99.889999,101.120003,98.349998,100.959999,99.902306,600700
2020-05-26,102.930000,103.519997,102.080002,102.250000,101.178787,1621900
2020-05-27,102.470001,103.139999,100.800003,102.760002,101.683456,1039500
2020-05-28,103.589996,105.709999,102.050003,104.360001,103.266678,919500
